Simulator Program
=================

Uploading Configuration Files

Uploading Meta Data Files

=================
Begin Simulation

#
#
#Time:  4.081593, OS: Process 2 printer IO end
Time:  4.090165, OS: Process 2 set in READY state
Time:  4.096951, OS: Process 2 selected with 856 ms remaining
Time:  4.107513, OS: Process 2 set in RUNNING state
Time:  4.119917, OS: Process 2 printer output start
Time:  4.125867, OS: Process 2 set in BLOCKED state
Time:  4.136820, OS: System Idle
#
#
#
#
Time:  4.337934, OS: Interrupt by Process 0
#
#
#
#
#Time:  4.343706, OS: Process 0 keyboard IO end
Time:  4.353434, OS: Process 0 set in READY state
Time:  4.360875, OS: Process 0 selected with 1814 ms remaining
#
#
#
#
Time:  4.360963, OS: Interrupt by Process 2
#
#
#
#
#Time:  4.367163, OS: Process 0 set in RUNNING state
Time:  4.375047, OS: Process 2 printer IO end
Time:  4.382749, OS: Process 0 run operation start
Time:  4.388214, OS: Process 2 set in READY state
Time:  4.399781, OS: Process 0 run cycle complete
Time:  4.408495, OS: Process 0 set in READY state
Time:  4.419623, OS: Process 2 selected with 634 ms remaining
Time:  4.425945, OS: Process 2 set in RUNNING state
Time:  4.433980, OS: Process 2 run operation start
Time:  4.443694, OS: Process 2 run cycle complete
Time:  4.450994, OS: Process 2 set in READY state
Time:  4.459386, OS: Process 2 selected with 628 ms remaining
Time:  4.464208, OS: Process 2 set in RUNNING state
Time:  4.473490, OS: Process 2 run operation start
Time:  4.485689, OS: Process 2 run cycle complete
Time:  4.497049, OS: Process 2 set in READY state
Time:  4.506380, OS: Process 2 selected with 622 ms remaining
Time:  4.515105, OS: Process 2 set in RUNNING state
Time:  4.526208, OS: Process 2 run operation start
Time:  4.539206, OS: Process 2 run cycle complete
Time:  4.546758, OS: Process 2 set in READY state
Time:  4.558963, OS: Process 2 selected with 616 ms remaining
Time:  4.568725, OS: Process 2 set in RUNNING state
Time:  4.577667, OS: Process 2 run operation start
Time:  4.590553, OS: Process 2 run cycle complete
Time:  4.596675, OS: Process 2 set in READY state
Time:  4.604277, OS: Process 2 selected with 610 ms remaining
Time:  4.611231, OS: Process 2 set in RUNNING state
Time:  4.620083, OS: Process 2 run operation start
Time:  4.630372, OS: Process 2 run cycle complete
Time:  4.639399, OS: Process 2 set in READY state
Time:  4.651132, OS: Process 2 selected with 604 ms remaining
Time:  4.665209, OS: Process 2 set in RUNNING state
Time:  4.673461, OS: Process 2 run operation start
Time:  4.683573, OS: Process 2 run cycle complete
Time:  4.692295, OS: Process 2 set in READY state
Time:  4.701924, OS: Process 2 selected with 598 ms remaining
Time:  4.711982, OS: Process 2 set in RUNNING state
Time:  4.720508, OS: Process 2 run operation start
Time:  4.731177, OS: Process 2 run cycle complete
Time:  4.739741, OS: Process 2 set in READY state
Time:  4.748236, OS: Process 2 selected with 592 ms remaining
Time:  4.755237, OS: Process 2 set in RUNNING state
Time:  4.763293, OS: Process 2 run operation start
Time:  4.774974, OS: Process 2 run cycle complete
Time:  4.782003, OS: Process 2 set in READY state
Time:  4.793597, OS: Process 2 selected with 586 ms remaining
Time:  4.800774, OS: Process 2 set in RUNNING state
Time:  4.810090, OS: Process 2 run operation start
Time:  4.825990, OS: Process 2 run cycle complete
